            Runtime (Sec),                Iteration,             Evaluation #,                     Step,                   Source,               Model_name,                    Delta,                   Status,                      phi,                       f1,                       f2,                max(c_in),        Penalty_parameter,              Multipliers,                     hmax,                       x1,                       x2,                       x3,                       x4
     0.000356399999873247,                        0,                        2,         Search: sampling,              Current run,               Simulation,                      5.0,                 FEASIBLE,                     12.0,       0.7322578740113634,                     12.0,                        0,                      1.0,                      0.0,                    1e-15,                     12.0,                     12.0,                     12.0,                     12.0
    0.0004138000003877096,                        1,                       89,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     19.0,      0.07660346336043188,                     19.0,                        0,    4.440892098500626e-16,                      0.0,                    1e-15,       18.593665269180168,                     12.0,       12.285794248803914,        17.98140041083653
   0.00024480000138282776,                        1,                       90,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     23.0,      0.01636669780661988,                     23.0,                        0,    2.220446049250313e-16,                      0.0,                    1e-15,        23.39366526918017,                     12.0,                     12.0,       23.261400410836533
   0.00024019999909796752,                        1,                       57,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     38.0,    1.543270038706061e-05,                     38.0,                        0,    3.469446951953614e-18,                    1e-15,                    1e-15,       36.006162079593906,       16.109292604523564,       12.488764462592977,         37.7913183946627
    0.0009054000001924578,                        1,                      125,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     47.0,   1.0491001950249536e-06,                     47.0,                        0,   1.0842021724855044e-19,                      0.0,                    1e-15,        41.28616207959391,       13.709292604523563,       20.168764462592975,         46.9113183946627
   0.00032669999927747995,                        1,                      153,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     27.0,     0.006075095262817373,                     27.0,                        0,   1.0587911840678754e-22,                      0.0,                    1e-15,        23.67001898677723,                     12.0,                     12.0,       26.752463785183863
   0.00021850000121048652,                        1,                      159,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     31.0,     0.002643975259884228,                     31.0,                        0,   1.6543612251060553e-24,                      0.0,                    1e-15,       30.390018986777232,       13.167220083501814,       13.551739394205036,       30.592463785183863
     0.000298099999781698,                        1,                       69,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     15.0,       0.3582954043026605,                     15.0,                        0,   1.6543612251060553e-24,                      0.0,                    1e-15,       14.022394845192977,       13.273847701194896,       12.071799915451265,       14.854953286303257
     0.000245400002313545,                        1,                       70,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     21.0,      0.05601413552140198,                     21.0,                        0,    8.271806125530277e-25,                    1e-15,                    1e-15,        21.41483490032701,       12.173625489626197,       13.660320661874323,        21.21727077102981
   0.00046209999709390104,                        1,                       71,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     13.0,       0.5009690638972156,                     13.0,                        0,    8.271806125530277e-25,                    1e-15,                    1e-15,       13.266269454251976,        12.25538994513061,       12.136799715099698,        12.65786580282456
    0.0003122000016446691,                        1,                       74,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     14.0,       0.4246334418069923,                     14.0,                        0,    8.271806125530277e-25,                    1e-15,                    1e-15,       13.795074251567044,       13.347006468223022,       12.261197418183158,       14.286557645355273
    0.0004039000014017802,                        1,                       75,                Poll Step,              Current run,               Simulation,                      5.0,                 FEASIBLE,                     16.0,       0.1749085331875285,                     16.0,                        0,   4.1359030627651384e-25,                    1e-15,                    1e-15,       16.004132206896514,       12.360640253985693,       12.439397209333272,       16.053545444979306
    0.0002314000012120232,                        1,                       76,                Poll Step,              Current run,               Simulation,                      5.0,                 FEASIBLE,                     20.0,      0.07088746022545399,                     20.0,                        0,   2.0679515313825692e-25,                    1e-15,                    1e-15,       18.999346790942596,       12.522352133875465,       12.229774843083078,       20.449027897203315
