Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	1.50792	39.65663	0.31851	0.21908	0.31283	0.25499	nan	313.09000	259.78000	1568.73000	223.70000
2	1.58655	37.84613	0.26616	0.22673	0.31086	0.23060	nan	305.15000	259.80000	2410.54000	224.60000
3	1.46922	37.09596	0.25954	0.21017	0.30186	0.22163	nan	312.27000	254.80000	1616.98000	223.12000
4	1.44607	36.44197	0.26835	0.21579	0.31517	0.22718	nan	313.16000	255.24000	5030.71000	223.85000
5	1.47607	33.87855	0.26733	0.21196	0.30606	0.23754	nan	313.78000	255.34000	1864.87000	223.66000
6	1.48859	34.93456	0.26924	0.21868	0.34539	0.23266	nan	312.36000	258.45000	1851.61000	223.42000
7	1.45642	41.77081	0.26626	0.20983	0.31036	0.22474	nan	315.04000	254.57000	1724.55000	221.93000
8	1.72510	35.55431	0.25556	0.21363	0.31614	0.23799	nan	312.46000	256.46000	2580.86000	223.69000
9	1.45052	34.48709	0.26609	0.21039	0.30788	0.25258	nan	290.21000	256.18000	2252.61000	222.50000
10	1.50849	34.11728	0.25389	0.20976	0.29939	0.23205	nan	271.32000	256.59000	2759.46000	226.54000
total (hr)	0.00420	0.10161	0.00075	0.00060	0.00087	0.00065	0.00000	0.84968	0.71311	6.57248	0.62139
