            Runtime (Sec),                Iteration,             Evaluation #,                     Step,                   Source,               Model_name,                    Delta,                   Status,                      phi,                       f1,                       f2,                max(c_in),        Penalty_parameter,              Multipliers,                     hmax,                       x1,                       x2,                       x3,                       x4
    0.0003338999995321501,                        0,                        2,         Search: sampling,              Current run,               Simulation,                      5.0,                 FEASIBLE,                     12.0,       0.7322578740113634,                     12.0,                        0,                      1.0,                      0.0,                    1e-15,                     12.0,                     12.0,                     12.0,                     12.0
     0.000307099999190541,                        1,                       41,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     25.0,     0.044736543092543955,                     25.0,                        0,    8.881784197001252e-16,                      0.0,                    1e-15,       19.062062076694335,       13.448561570981623,       13.351167031024117,       25.448320917520917
    0.0005526999993890058,                        1,                       52,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     26.0,     0.018675171200810557,                     26.0,                        0,   2.7755575615628914e-17,                      0.0,                    1e-15,        26.47217884813224,        13.73227297879207,       12.182652036066353,       23.470543571403233
    0.0002998999989358708,                        1,                       59,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     18.0,      0.28388011153821546,                     18.0,                        0,   1.0842021724855044e-19,                      0.0,                    1e-15,       15.726553895757503,       12.568164058463209,       14.613042565164905,       17.951594862469705
   0.00022470000112662092,                        1,                       60,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     21.0,      0.10647750508563535,                     21.0,                        0,    5.421010862427522e-20,                    1e-15,                    1e-15,       16.953903094353116,          13.689303973635,       12.048723243470643,        21.26629179450775
   0.00020030000086990185,                        1,                       96,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     23.0,     0.057676842168627326,                     23.0,                        0,    4.235164736271502e-22,                      0.0,                    1e-15,        18.92127457302666,       13.679994369020035,                     12.0,       23.019304778776423
    0.0003187000002071727,                        1,                       67,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     16.0,      0.30882546887501944,                     16.0,                        0,    2.117582368135751e-22,                    1e-15,                    1e-15,       16.145902616984316,       12.201299820766591,       14.065489334363507,       14.516200471332187
    0.0001961999987543095,                        1,                      126,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     29.0,    0.0021810868531595045,                     29.0,                        0,   3.2311742677852644e-27,                      0.0,                    1e-15,       25.827652421326782,                     12.0,                     12.0,       29.139770270822655
    0.0004751999986183364,                        1,                      148,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     35.0,    5.795592047523619e-06,                     35.0,                        0,   1.5777218104420236e-30,                      0.0,                    1e-15,        35.42765242132678,                     12.0,                     12.0,       28.659770270822655
   0.00019600000086938962,                        1,                      155,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     55.0,    3.880585246953186e-08,                     55.0,                        0,    1.925929944387236e-34,                      0.0,                    1e-15,        55.10765242132678,                     12.0,                    34.56,       52.659770270822655
