NFE	BestRunningMin
1	2234.317656181488
2	2234.317656181488
3	1883.7849606917916
4	1558.8502150612503
5	1558.8502150612503
6	1558.8502150612503
7	1558.8502150612503
8	1558.8502150612503
9	1558.8502150612503
10	1558.8502150612503
11	1360.8713745545504
12	1360.8713745545504
13	1360.8713745545504
14	1360.8713745545504
15	1360.8713745545504
16	1360.8713745545504
17	1360.8713745545504
18	1360.8713745545504
19	1360.8713745545504
20	2801.983682
21	1711.5298313925912
22	1655.75570350657
23	1593.2826688247083
24	1593.2826688247083
25	1593.2826688247083
26	348.09126419669053
27	348.09126419669053
28	348.09126419669053
29	348.09126419669053
30	348.09126419669053
31	348.09126419669053
32	348.09126419669053
33	348.09126419669053
34	348.09126419669053
35	348.09126419669053
36	348.09126419669053
37	284.36095988745063
38	284.36095988745063
39	284.36095988745063
40	284.36095988745063
41	284.36095988745063
42	284.36095988745063
43	284.36095988745063
44	284.36095988745063
45	284.36095988745063
46	145.29757851729852
47	49.97675084151551
48	49.97675084151551
49	49.97675084151551
50	49.97675084151551
51	49.97675084151551
52	49.97675084151551
53	49.97675084151551
54	49.97675084151551
55	49.97675084151551
56	44.6668198
57	44.6668198
58	44.6668198
59	44.6668198
60	44.6668198
61	44.6668198
62	44.6668198
63	44.6668198
64	44.6668198
65	44.6668198
66	44.6668198
67	30.115812071231055
68	30.115812071231055
69	29.15501135311589
70	29.15501135311589
71	29.15501135311589
72	29.15501135311589
73	24.62637284468387
74	24.62637284468387
75	24.62637284468387
76	24.62637284468387
77	24.62637284468387
78	24.62637284468387
79	24.62637284468387
80	24.62637284468387
81	24.62637284468387
82	24.62637284468387
83	24.62637284468387
84	24.62637284468387
85	24.62637284468387
86	24.62637284468387
87	24.62637284468387
88	24.62637284468387
89	24.62637284468387
90	24.62637284468387
91	24.62637284468387
92	24.62637284468387
93	24.62637284468387
94	24.62637284468387
95	24.62637284468387
96	24.62637284468387
97	24.62637284468387
98	24.62637284468387
99	24.62637284468387
100	24.62637284468387
101	24.62637284468387
102	24.62637284468387
103	24.62637284468387
104	24.45652503584353
105	24.45652503584353
106	24.45652503584353
107	24.45652503584353
108	24.45652503584353
109	24.45652503584353
110	24.45652503584353
111	24.45652503584353
112	24.45652503584353
113	24.45652503584353
114	24.45652503584353
115	24.45652503584353
116	24.45652503584353
117	24.45652503584353
118	24.45652503584353
119	24.45652503584353
120	24.45652503584353
121	24.45652503584353
122	24.45652503584353
123	24.45652503584353
124	24.45652503584353
125	24.45652503584353
126	24.45652503584353
127	24.45652503584353
128	24.45652503584353
129	24.45652503584353
130	24.45652503584353
131	24.45652503584353
132	24.45652503584353
133	24.45652503584353
134	24.45652503584353
135	24.45652503584353
136	24.45652503584353
137	24.45652503584353
138	24.45652503584353
139	24.45652503584353
140	24.45652503584353
141	24.45652503584353
142	24.45652503584353
143	24.45652503584353
144	24.45652503584353
145	24.45652503584353
146	24.45652503584353
147	24.45652503584353
148	24.45652503584353
149	24.45652503584353
150	24.45652503584353
151	24.45652503584353
152	24.45652503584353
153	24.45652503584353
154	24.45652503584353
155	24.45652503584353
156	24.45652503584353
157	24.45652503584353
158	24.45652503584353
159	24.45652503584353
160	24.45652503584353
161	24.45652503584353
162	24.45652503584353
163	24.45652503584353
164	24.45652503584353
165	24.45652503584353
166	24.45652503584353
167	24.45652503584353
168	24.45652503584353
169	24.45652503584353
170	24.45652503584353
171	24.45652503584353
172	24.45652503584353
173	24.45652503584353
174	24.45652503584353
175	24.45652503584353
176	24.45652503584353
177	24.45652503584353
178	24.45652503584353
179	24.45652503584353
180	24.45652503584353
181	24.45652503584353
182	24.45652503584353
183	24.45652503584353
184	24.45652503584353
185	24.45652503584353
186	24.45652503584353
187	24.45652503584353
188	24.45652503584353
189	24.45652503584353
190	24.45652503584353
191	24.45652503584353
192	24.45652503584353
193	24.45652503584353
194	24.45652503584353
195	24.45652503584353
196	24.45652503584353
197	24.45652503584353
198	24.45652503584353
199	24.45652503584353
200	24.45652503584353
201	24.45652503584353
202	24.45652503584353
203	24.45652503584353
204	24.45652503584353
205	24.45652503584353
206	24.45652503584353
207	24.45652503584353
208	24.45652503584353
209	24.45652503584353
210	24.45652503584353
211	24.45652503584353
212	24.45652503584353
213	24.45652503584353
214	24.45652503584353
