            Runtime (Sec),                Iteration,             Evaluation #,                     Step,                   Source,               Model_name,                    Delta,                   Status,                      phi,                       f1,                       f2,                max(c_in),        Penalty_parameter,              Multipliers,                     hmax,                       x1,                       x2,                       x3,                       x4
                      0.0,                        0,                        0,         Search: sampling,              Current run,               Simulation,                      5.0,                 FEASIBLE,                     47.0,       0.2585706767084962,                     47.0,                        0,                      1.0,                      0.0,                      inf,        32.01705622572355,        46.57557568522359,       12.005489991232555,        26.51196348632831
     0.000356399999873247,                        1,                        2,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     12.0,       0.7322578740113634,                     12.0,                        0,                      1.0,                      0.0,                    1e-15,                     12.0,                     12.0,                     12.0,                     12.0
   0.00044189999971422367,                        1,                        3,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,        59.89295694741749,        59.89295694741749,                     55.0,                        0,                      0.5,                    1e-15,                    1e-15,                     15.0,       54.666666666666664,                    42.72,       19.836734693877553
    0.0018617999994603451,                        1,                        4,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     50.0,        4.867089111099647,                     50.0,                        0,                     0.25,                    1e-15,                    1e-15,                     18.0,        33.33333333333333,       50.400000000000006,        39.42857142857143
    0.0006296999999904074,                        1,                        5,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     44.0,        4.168204511672287,                     44.0,                        0,                    0.125,                    1e-15,                    1e-15,                     24.0,                     44.0,       31.200000000000003,       25.714285714285715
    0.0002868000010494143,                        1,                        6,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     53.0,      0.04116454953168199,                     53.0,                        0,                   0.0625,                    1e-15,                    1e-15,                     30.0,       22.666666666666664,       23.520000000000003,        53.14285714285714
    0.0002552999976614956,                        1,                        7,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     36.0,       0.5719979647821587,                     36.0,                        0,                  0.03125,                    1e-15,                    1e-15,                     36.0,                     28.0,                     21.6,       18.857142857142858
    0.0002679999997781124,                        1,                        8,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     52.0,       0.2992951039046233,                     52.0,                        0,                 0.015625,                    1e-15,                    1e-15,                     39.0,       13.777777777777779,        52.32000000000001,       26.693877551020407
   0.00022619999799644575,                        1,                        9,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     49.0,      0.04443374744751543,                     49.0,                        0,                0.0078125,                    1e-15,                    1e-15,                     42.0,        49.33333333333333,                    13.92,       46.285714285714285
   0.00021629999901051633,                        1,                       10,         Search: sampling,              Current run,               Simulation,                      1.0,                 FEASIBLE,                     48.0,       0.0874656537821825,                     48.0,                        0,               0.00390625,                    1e-15,                    1e-15,                     48.0,       17.333333333333332,                     40.8,        32.57142857142857
