Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	2.26060	39.97259	0.14327	0.06606	0.08939	0.10568	nan	221.81000	168.19000	1344.66000	137.93000
2	2.29041	39.73105	0.11923	0.06308	0.10097	0.07499	nan	228.84000	167.60000	1181.27000	136.80000
3	2.08312	39.92059	0.11517	0.05534	0.09892	0.08418	nan	218.20000	0.21000	1188.01000	142.09000
4	2.45537	40.02026	0.10140	0.04059	0.09912	0.09302	nan	206.71000	168.35000	1400.04000	134.99000
5	2.17088	48.81545	0.11519	0.05525	0.08329	0.08736	nan	216.15000	170.42000	1421.84000	138.90000
6	2.09533	39.92605	0.10659	0.05517	0.09997	0.08325	nan	222.41000	166.33000	1338.47000	139.20000
7	1.74454	41.71300	0.09479	0.05416	0.09933	0.08334	nan	222.26000	165.40000	1299.15000	140.97000
8	2.24016	39.43657	0.10038	0.05497	0.09985	0.08292	nan	208.91000	165.42000	1208.41000	141.86000
9	1.78081	40.91353	0.11743	0.05521	0.09963	0.08417	nan	193.12000	165.61000	1164.07000	139.47000
10	2.53658	40.64881	0.10081	0.05482	0.08386	0.09206	nan	176.81000	173.94000	2185.81000	139.77000
total (hr)	0.00602	0.11419	0.00031	0.00015	0.00027	0.00024	0.00000	0.58756	0.41985	3.81437	0.38666
