x1,x2,x3,x4,x5,x6,f1,f2,c1,c2,c3,c4,c5,c6,isFeasible,isFrontier
3.7979111693903955,1.5490473907762305,1.9072442097197073,1.6930380854328302,1.126912226335862,4.036391928369783,-87.17674462576109,40.890026468960365,-3.346958560166626,-0.6530414398333739,-4.248863778614165,-2.849231002938296,-1.112846697376063,-3.5448497362198594,True,False
1.0836611617097403e-16,2.0,1.0,0.0,1.0,3.2986292766928557e-16,-116.0,6.0,0.0,-4.0,-1.0836611617097403e-16,-8.0,0.0,0.0,True,True
5.578864811394568e-16,1.9999999999999998,1.0000000000000007,3.327002614966552e-23,1.0,3.5181774279710265e-16,-115.99999999999993,6.0,-4.440892098500626e-16,-3.999999999999999,-7.799310860644882e-16,-7.999999999999998,-2.6645352258303496e-15,0.0,True,False
1.1719050525023607e-16,2.0,1.0,0.0,1.0,6.090847431982612e-17,-115.99999999999997,6.0,0.0,-4.0,-1.1719050525023607e-16,-8.0,0.0,0.0,True,False
9.763013419940493e-16,1.9999999999999998,1.0000000000000007,3.327002614966552e-23,1.0,3.5181774279710265e-16,-115.99999999999991,6.0,-8.881784197001252e-16,-3.999999999999999,-1.1983459469190806e-15,-7.999999999999998,-2.6645352258303496e-15,0.0,True,False
1.7085273484895864e-15,1.9999999999999996,1.0000000000000007,3.327002614966552e-23,1.0,3.5181774279710265e-16,-115.99999999999983,6.0,-1.3322676295501878e-15,-3.9999999999999987,-2.152616558339649e-15,-7.9999999999999964,-2.6645352258303496e-15,0.0,True,False
6.772882260685877e-17,2.0,1.0,0.0,1.0,3.2986292766928557e-16,-116.0,6.0,0.0,-4.0,-6.772882260685877e-17,-8.0,0.0,0.0,True,True
2.7091529042743508e-17,2.0,1.0,0.0,1.0,3.2986292766928557e-16,-116.0,6.0,0.0,-4.0,-2.7091529042743508e-17,-8.0,0.0,0.0,True,True
2.9899228598567758e-15,1.9999999999999993,1.0000000000000007,3.327002614966552e-23,1.0,3.5181774279710265e-16,-115.99999999999972,5.999999999999998,-2.220446049250313e-15,-3.9999999999999982,-3.65605667463187e-15,-7.999999999999996,-2.6645352258303496e-15,0.0,True,False
1.8964070329920458e-16,2.0,1.0,0.0,1.0,3.2986292766928557e-16,-115.99999999999997,6.0,0.0,-4.0,-1.8964070329920458e-16,-8.0,0.0,0.0,True,False
5.232365004749358e-15,1.9999999999999993,1.0000000000000007,3.327002614966552e-23,1.0,3.5181774279710265e-16,-115.99999999999946,5.999999999999998,-4.440892098500626e-15,-3.9999999999999956,-5.898498819524452e-15,-7.999999999999993,-2.6645352258303496e-15,0.0,True,False
1.0039023245940837e-16,2.0,3.0,3.0,1.0,6.090847431982583e-17,-105.0,23.0,0.0,-4.0,-1.0039023245940837e-16,-8.0,-1.0,0.0,True,False
1.7568290680396467e-16,2.0,3.0,3.0,1.0,6.090847431982583e-17,-104.99999999999997,23.0,0.0,-4.0,-1.7568290680396467e-16,-8.0,-1.0,0.0,True,False
5.594215528930984e-17,2.0,1.0,0.0,1.0,1.4383219522820943e-17,-116.0,6.0,0.0,-4.0,-5.594215528930984e-17,-8.0,0.0,0.0,True,True
1.1860161616414124e-32,2.0,1.0,0.0,1.0,9.150401336057828e-18,-116.0,6.0,0.0,-4.0,-1.1860161616414124e-32,-8.0,0.0,0.0,True,True
3.117313894329936e-18,2.0,1.0,0.0,1.0,3.0043007550074215e-16,-116.0,6.0,0.0,-4.0,-3.117313894329936e-18,-8.0,0.0,0.0,True,True
1.220299981330463e-16,2.0,3.0,0.0,1.0,1.5510505955229474e-16,-119.99999999999997,14.0,0.0,-4.0,-1.220299981330463e-16,-8.0,-4.0,0.0,True,False
2.1355249673283103e-16,2.0,3.0,0.0,1.0,1.5510505955229474e-16,-119.99999999999997,14.0,0.0,-4.0,-2.1355249673283103e-16,-8.0,-4.0,0.0,True,False
5.578864811394568e-16,1.9999999999999998,1.0000000000000007,0.0,1.0,3.5181774279710265e-16,-115.99999999999993,6.0,-4.440892098500626e-16,-3.999999999999999,-7.799310860644882e-16,-7.999999999999998,-2.6645352591003757e-15,0.0,True,False
1.7085273484895864e-15,1.9999999999999996,1.000000000000001,0.0,1.0,3.5181774279710215e-16,-115.99999999999983,6.0,-1.3322676295501878e-15,-3.9999999999999987,-2.152616558339649e-15,-7.9999999999999964,-4.440892098500626e-15,0.0,True,False
2.045495309487094e-16,2.0,2.0,3.764700859759991e-18,1.0,3.2581984708216465e-16,-116.99999999999997,9.0,0.0,-4.0,-2.045495309487094e-16,-8.0,-3.0,0.0,True,True
2.9899228598567758e-15,1.9999999999999993,1.000000000000001,0.0,1.0,3.5181774279710265e-16,-115.99999999999972,6.0,-2.220446049250313e-15,-3.9999999999999982,-3.65605667463187e-15,-7.999999999999996,-4.440892098500626e-15,0.0,True,False
7.703719777548834e-33,2.0,1.0,0.0,1.0,4.3914436931955134e-16,-116.0,6.0,0.0,-4.0,-7.703719777548834e-33,-8.0,0.0,0.0,True,True
1.220299981330463e-16,2.0,5.0,0.0,1.0,1.5510505955229469e-16,-131.99999999999997,30.0,0.0,-4.0,-1.220299981330463e-16,-8.0,0.0,0.0,True,False
3.491875312770358e-16,1.9999999999999998,1.0001683824831618,3.764699564478656e-18,1.0,3.3397733135474894e-16,-116.00000002835262,6.000336793318983,0.0,-4.0,-5.712321362020671e-16,-7.999999999999998,-0.0006735015799863537,0.0,True,True
1.1784093278932863e-15,2.000000000000001,1.0119999871659937,0.0,1.0000000071851372,3.402641782458479e-08,-116.00014399969187,6.02414398839425,-2.220446049250313e-15,-3.9999999999999982,-2.9023090819316105e-16,-8.000000000000002,-0.04785594897199097,-5.285869519866537e-09,True,True
7.641548978921046e-16,1.9999999999999993,1.0000000000000007,3.327313364053416e-23,1.0,3.8284637035635057e-16,-115.99999999999993,5.999999999999998,0.0,-4.0,-1.4302887126671985e-15,-7.999999999999997,-2.664535225827242e-15,0.0,True,False
6.813550698123641e-17,2.0,1.0,0.0,1.0,3.3640803763369406e-16,-116.0,6.0,0.0,-4.0,-6.813550698123641e-17,-8.0,0.0,0.0,True,True
4.978843806336361e-16,2.0000000000000004,1.505999993582994,3.764722005613052e-18,1.0,3.258156870301474e-16,-116.25603599350595,7.26803598067198,-8.881784197001252e-16,-3.9999999999999987,-5.3795170783573455e-17,-8.000000000000002,-1.7679639808259857,0.0,True,True
1.8964070328486255e-16,2.0,1.0000000000000018,1.2122952789336898e-29,1.0,3.008402060965589e-16,-115.99999999999997,6.0000000000000036,0.0,-4.0,-1.8964070328486255e-16,-8.0,-7.10542735760099e-15,0.0,True,False
8.558469820716266e-14,1.9999999999999147,1.0000000000000018,2.9451323973122333e-24,1.0,8.010901505524704e-16,-115.99999999999145,5.9999999999996625,-4.440892098500626e-16,-4.0,-1.708498264983747e-13,-7.999999999999659,-7.105427354655869e-15,-8.881784197001252e-16,True,True
2.363475944976106e-16,1.9999999999999998,4.038745221338617,1.5581178320079252,1.0,1.6354471444601538e-16,-115.19676104256592,23.739194141306594,0.0,-4.0,-4.583921994226419e-16,-7.999999999999999,-1.362890533138262,0.0,True,False
2.8038509469353572e-16,1.9999999999999998,4.037734317471148,1.5566014762068243,1.0,1.6069800344442067e-16,-115.19802612961655,23.726306574213464,0.0,-4.0,-5.02429699618567e-16,-7.999999999999999,-1.3665060101358653,0.0,True,False
5.699833886460408e-09,1.9999999995383912,1.0000000004138412,8.207525984101991e-11,2.9999999088937415,4.999998761662814,-119.99999906493498,38.99998706897338,-5.2382249648985635e-09,-3.999999994761775,-6.1614426376836606e-09,-7.99999999291534,-1.573289474335581e-09,-0.9999987616628223,True,False
