%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         
1        NO_ID      4.932097628    -2.094201205   3.539103474    -0.5526361108  1.900450459    1.579269351    0.373589144    3.405340108    2.326014766    0.7362620996   1.709458501    -3.931600524   -0.9346759346  4.917831695    -4.051255408   1.091281002    -2.868025815   4.041244071    0.4500893277   1.780319519    -1.296948644   0.1397872183   -4.121294304   -0.4323481488  -4.148992208   1.197445699    -0.1007756559  2.728183292    4.153396507    4.331672196    -2750.289267   
2        NO_ID      4.025321273    0.5656382346   -0.4109425541  0.4059172897   0.04131531203  -4.580379212   -2.906445223   1.91835075     -1.017969253   3.762516094    2.373085134    0.7961891135   0.1131971866   3.930724976    2.415729247    -0.9475738908  -4.628944553   4.790758356    0.6575526328   1.669384459    -1.086524129   4.654058611    -0.7083558665  0.1143565077   -3.547757346   4.658710563    0.1535195633   -3.816235659   -0.2884269155  -2.736520593   -1618.2746     
3        NO_ID      -3.7161771     1.281378983    0.3907026732   -0.2577429309  -1.098944953   0.953936708    1.463166451    -2.855231546   -3.697033949   1.453514565    2.966219713    0.05077157464  -1.862394575   5.058520253    4.442135067    -3.857486769   -4.451071374   -4.402494178   3.151804474    2.528453679    0.6517553102   -1.95859345    5.097501809    4.85304624     1.931988362    3.472484006    4.028628884    -3.524064968   -2.579479021   1.554479485    415.7123       
4        NO_ID      1.569984743    -3.251059289   -2.441298562   3.046485917    3.195867023    -1.838413903   1.210237089    -4.948191611   -1.378574947   2.439183891    1.157481323    1.471730543    -1.26731939    0.5155934073   0.6416999301   -1.770763276   4.788609142    -4.459645581   -4.086311277   -2.18640936    -3.291120052   -4.947421132   2.8704652      -0.05045863681 -1.576159637   0.1532080953   -2.293244872   -0.5422690236  1.31795064     2.180591025    -82.781039     
5        NO_ID      2.931331804    -4.799355796   -5.060798829   2.299565827    1.310137248    0.364926929    -0.6450247267  -0.3526020415  -4.338906895   2.211548681    4.093313698    2.805691632    -0.0004655883551 -2.761204602   -0.5768879138  -1.572928213   3.871478131    5.034455654    -0.8120899945  1.930776735    5.023195033    -0.3225222269  2.610432168    0.6796281858   1.051636748    -0.02413363025 3.743647414    -0.4487264897  -3.301550744   -3.415778165   -37214.99567   
6        NO_ID      4.860662096    -1.019908177   4.168586222    0.1916735805   0.963480802    2.413938511    -2.154152192   4.752613111    -1.522683861   0.4825119937   -4.321383208   3.277251343    -3.049178767   -2.318546807   3.800202392    2.149870568    -2.531766844   3.206372857    -1.491849494   3.870096403    3.330296463    -0.6717025278  0.817913324    -1.537668901   2.767981412    2.892069306    2.114505188    1.563235757    3.480188148    -1.365389134   5231357.595    
7        NO_ID      -1.65093223    1.665250884    -3.219129273   -4.29157307    -5.036716433   -4.628195744   4.778272947    0.5709854818   1.408510731    -2.159111432   0.2673078732   -0.2111027725  3.118685228    2.354897628    1.916699285    1.998619713    2.840385701    3.729754589    1.608831137    -3.039081973   2.03160201     -1.702620483   4.82876021     2.122065338    -0.9518042302  -1.200678229   4.669317406    -1.761855881   2.829236137    2.274398395    -263.379354    
8        NO_ID      -4.318012277   2.83286072     -1.620080353   0.6613518554   0.8918124508   1.079650819    1.347619638    -0.905005229   2.691906108    1.834627235    3.444304347    4.644925085    -2.968527318   -2.52125351    3.18447943     -2.550320997   1.984844417    -2.032552229   2.678921693    0.4171395037   -1.895058884   2.571696357    -2.173742614   -1.474653284   -4.902413348   -5.003626321   0.0002928357124 -3.974865765   4.080286964    -3.866275574   5443.493207    
9        NO_ID      -3.608521655   0.9938259571   3.357875917    -4.421730728   -0.4850571086  1.783687864    -2.504969724   -3.593467603   -2.835547632   4.62274484     2.200234619    -2.119259153   -0.5800566267  3.870077783    -3.078489389   0.2251855755   -3.92488062    4.422548223    1.756641843    -4.494011593   -0.8716237454  -3.676175642   -4.897635277   0.5943073665   -1.360041154   -1.113224055   4.91523077     -0.3995877806  -4.634476303   -2.535225788   -10751.00524   
10       NO_ID      -2.661995697   -2.39716338    3.233552819    -4.01407296    -2.016226948   -3.385496146   -0.2616951336  -4.413115214   4.880446843    -4.9412132     -0.1217395058  2.108853818    4.187108654    3.786312063    1.133375122    2.396017631    -2.447904115   -0.8352380473  -1.252979442   2.883621603    1.449391083    1.562020115    0.3939109548   -0.8103349655  1.973666732    -4.649764466   -4.525214921   2.600000678    4.243456882    -3.605811145   423925.4063    
11       NO_ID      5.107276236    -0.4889730249  -3.937902546   4.746364263    -2.164167412   -0.9017992754  -1.226707972   -0.7102395483  -4.790653033   -3.494851992   4.92095324     2.281566359    -1.800288592   3.621302293    -3.484110967   -1.431046201   -3.02738893    1.782057327    -2.169698596   0.7538981364   1.404807805    -2.558606868   -3.574103216   1.430899906    3.613562857    -2.562288524   -3.100560067   -1.590231704   5.014427602    3.568258462    3202909.455    
12       NO_ID      0.6810006718   3.008249924    -1.832134269   -2.900794057   1.393476501    -0.5190742181  -4.895843384   -2.583442303   -3.196052083   -1.110101973   2.312419626    0.3169901441   4.926729994    2.796651451    2.92470131     0.1721998911   -1.599487855   -4.563999037   -1.656934214   2.352135692    -4.663333152   -2.230311524   1.503677609    -3.496573095   -1.99116296    1.548430674    4.525235407    2.153298273    1.128576028    3.716310094    -123.456582    
13       NO_ID      0.9999826757   1.997456161    0.680455386    4.702905229    -4.180112543   5.080293367    -1.398247753   2.621897528    2.953359222    1.237996712    0.7243416617   0.6916600294   2.814123124    -4.117496334   -4.546409769   1.431755727    -4.958791407   -0.3650214133  -3.360681838   -4.107205473   0.3358408556   3.36829751     1.554208537    2.874432781    0.004556215835 -0.5273823381  1.073700155    -1.227218962   3.102428863    1.831503755    7650.319812    
14       NO_ID      3.77414147     -0.04269905355 1.049457921    0.4276267145   -4.670113883   4.220517142    3.817069909    -1.726998126   0.09322517715  2.833885885    4.376841292    -3.060402879   2.539128847    0.2954322077   0.3810984198   0.5888011648   2.278479567    1.301824293    3.646384826    -4.601364209   -4.337826895   4.866844568    -2.912451519   3.439578559    1.248782982    -2.433054242   3.844111938    -2.05180071    -0.870216627   -3.693361265   5084.994023    
15       NO_ID      3.360694989    4.14669298     3.872478894    3.707489307    3.406552763    -3.106550488   1.085587494    -2.243878056   4.748118211    -0.4245559316  1.402585855    -4.981848521   -2.392752524   -0.6397710352  4.017662444    -4.029775276   4.109929874    -4.980134824   1.733520396    -0.1555216668  3.673731527    2.14387417     0.9147851584   0.8580256335   5.06371429     -1.593853868   3.336132536    3.820842644    0.1219468987   4.159910978    -545.733629    
16       NO_ID      0.8807463886   -1.83504762    -1.85916151    3.670290624    -4.925833909   -3.624852286   -4.593150094   2.863604256    4.970448747    -5.041964359   1.451171126    0.8639614151   -3.220726008   -2.888396314   3.299387477    -1.440219453   1.393981151    0.593560371    -1.346289044   -1.629138266   -3.58052025    1.748291662    -1.314142466   -2.109797395   -5.050299053   1.066044067    -2.120989756   -0.07110623372 -4.582534018   -0.945071687   60141.75782    
17       NO_ID      -2.263980387   2.48238857     -3.041307661   2.8415849      -0.1218670931  -3.863060978   -0.8833182589  4.196539889    4.330049557    4.964305787    -4.914029719   -0.3839134128  -5.102827898   1.457892782    2.011322873    -4.211344916   -4.866577497   -3.413207918   -0.8759251324  1.260591838    5.005188786    -2.088522754   -2.331051994   -4.215340326   2.560748891    -4.135548115   2.03405832     -5.016318595   -1.238017893   -1.479250421   -710941.1933   
18       NO_ID      4.331106478    3.877528744    -0.9213013928  -4.658485389   2.501503727    0.7170427896   -1.704248291   2.461422616    -1.665709726   -2.362132277   -0.3010711179  3.095179278    -1.964403943   4.302712264    4.722132423    -4.65411034    1.268598409    3.11283465     -1.779626398   3.932360563    -3.133111262   1.904722595    -3.608478906   2.751091951    1.710830381    -0.8498767764  -4.613961753   1.289589169    -1.017451118   -4.955995569   26446.09126    
19       NO_ID      2.667202183    -1.104388793   -2.593436987   2.901880743    3.562831179    -1.33062563    1.995181943    3.894671617    0.1635141029   -4.397889919   0.8197280099   -0.4326242858  1.343868799    3.51836792     -0.04872499101 -1.998653438   4.88850511     -3.843186556   2.554575909    0.009327933955 1.26649544     4.780697121    4.012354379    0.07913030453  3.523027971    4.872609504    0.2064116145   2.776015117    0.8141337779   -2.85437619    649.604994     
20       NO_ID      -4.913075001   -3.999307703   4.781454343    -1.621189345   1.520088971    2.088562462    -1.786812336   3.09943175     1.906066957    2.995637361    -3.473321738   -4.343040824   -0.6823223331  1.937233541    -3.005446485   -0.3853970599  -3.164494495   -1.589456082   1.101950821    3.11203385     -4.279946565   3.456880693    3.373036364    1.053085185    3.763899936    2.480688954    -4.155308018   -4.206959861   -1.215012907   4.760887042    371.30298      
21       NO_ID      -2.681179972   -2.354953547   -1.092900451   -3.495549932   4.493648571    2.703910839    -2.798451473   -4.741706073   0.5183748121   -4.829195522   3.635118433    4.322303198    -3.511769546   1.345279124    4.322460572    -1.146565215   -3.99705805    2.906305457    -4.865710743   4.408996357    3.139332981    3.992271233    -0.983920117   2.241337894    0.5654477612   -3.31192081    -1.854926414   -0.256120943   -3.88738315    2.508720575    31.354438      
