%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         
1        NO_ID      -2.331691293   -3.671374994   -1.021964274   1.250321819    -3.786331994   -2.014957466   -2.446244731   -5.041127554   3.135335789    -3.798088376   -0.7583362428  1.356484658    4.941982674    2.79301979     -0.2061207914  -4.96308033    3.242205387    -0.2968159717  2.713593075    -2.781748582   -0.2179722168  1.202593139    4.370600482    -1.38331034    2.235216884    -2.48940486    1.801145855    -0.09045012822 3.441413274    1.529557032    -2680.362325   
2        NO_ID      -2.514590424   -4.688729281   1.491049495    2.619042224    4.548627833    -0.5507154567  0.9738609657   1.659279998    -2.580176565   -2.675250149   -4.592521622   -1.52221633    2.990076416    3.842762198    3.994688301    -3.926574491   -3.253431733   2.568964928    -3.312521266   0.7675447334   -3.003356156   3.133663606    -1.352877958   -3.346160348   -3.85671721    -3.257254918   -0.952265413   -4.303372658   4.745739869    0.4604030928   557.519704     
3        NO_ID      4.39384018     -0.8051225904  -3.410852155   -4.182821155   4.30632031     -2.386118938   2.018849749    4.970593465    4.382307015    1.057381356    -2.43416948    -4.18410176    4.513401734    1.505992319    3.385600935    4.412232366    -1.360202669   -5.031971742   -0.6411264953  -2.947574815   0.1463986854   2.599010019    -1.227561292   5.002013496    0.2316287702   -1.30142842    3.141476603    -2.771819826   -0.7871814492  -1.637358341   -30994.79155   
4        NO_ID      2.435411402    4.638859315    4.916485733    -3.374078148   -2.347159555   4.817348397    2.182177571    -4.23605214    -1.263993256   -4.551161922   -4.187954417   -1.681635906   1.303716503    -4.546521105   1.611311488    -0.1384682876  1.593030415    -3.794094164   -2.163209979   1.227927572    -1.823394161   2.446898787    -3.578736123   -3.602895163   2.517340807    -1.426689091   2.512565076    3.397433822    4.66535939     -0.8846583906  -1803.613485   
5        NO_ID      1.531687888    2.977156302    3.895762112    4.529598678    4.779936649    0.9008782138   3.773861422    2.329617655    -4.550225024   2.651616933    2.214380245    -1.797197132   -4.59078796    0.9070486634   -1.693389165   -1.329766036   -2.529878779   -2.912120192   3.274708706    3.043740858    -1.604028027   0.5179199009   2.055367395    -2.269105863   -0.7719342373  -0.4231180547  -1.173302164   -2.6547475     3.859668196    3.273308639    1384.593165    
6        NO_ID      5.071339457    -1.726467469   2.841791792    5.058315395    4.158671993    -2.995197771   3.399707792    -1.07948535    4.931351559    -0.9088737239  -0.5144587193  2.493801971    -1.699109822   1.211539539    0.5805965315   2.521045682    0.5361868172   -3.466063373   -3.789306643   3.947997933    -1.675906685   -3.737932524   -1.060308728   2.079231383    -4.108353842   1.14009838     0.5793304017   0.4957938509   2.966663216    -2.561625442   -4433949.81    
7        NO_ID      -1.979344127   2.815806369    -2.688740882   -4.579876336   2.452769907    1.411286223    2.800857222    -1.924806877   4.073084378    0.6171942118   4.811200866    -1.248491619   -0.8879289078  -1.22677503    0.051000896    1.466400699    -1.082811867   1.634040595    2.526519404    -2.363570321   2.301246664    -4.024178658   1.83979883     0.074231475    0.04300734012  -5.091778242   -0.006225915337 0.8691258544   -1.023406347   0.7173215756   -7094.392352   
8        NO_ID      0.1873046437   -2.824800667   -0.07283529394 -0.3706735436  -1.078058657   -4.815179864   3.160740687    5.040079267    0.01160621312  -1.454114694   2.11277986     -3.839537237   -0.5950725047  -0.0261661212  0.9157388873   -4.901443727   -2.072510953   -1.28119989    -1.103509185   -2.248731781   -4.633425129   -0.3249943007  4.168121693    4.775461986    2.067207157    -3.74806203    4.271242737    2.150820199    4.23649744     -4.485407094   -516030.6091   
9        NO_ID      1.761029211    -5.118016823   1.925184786    2.27260767     -2.079417836   2.13554155     0.3277014011   3.093704721    3.2778613      1.889572198    4.937751985    2.563695584    4.219030187    -2.309190083   -0.7003722356  -2.297668413   2.229796041    2.460517463    0.295526192    -0.319791678   -3.549493997   -1.299197594   -2.588538537   1.415745783    -2.264699397   2.276445026    2.082734509    -1.781786589   -3.27733024    4.477182095    -9938.631007   
10       NO_ID      1.578167079    -2.415188043   5.030888408    -0.2551000332  4.404825393    -0.9828884904  1.346016451    0.3896561499   -3.659051826   4.592059387    0.6606574744   -1.977670838   5.079699638    -0.6446528307  3.284757972    4.019979492    -0.2537752787  4.380099597    3.048060793    0.3830249543   1.681577768    1.05289108     4.773744716    0.788566807    1.738159373    1.099950572    -2.853262013   -0.9217515002  -2.113400559   -4.588682503   80518.26274    
11       NO_ID      -2.797033523   -3.832410357   -3.17467414    -1.170549613   -0.6652850268  -4.238877071   4.272472551    -0.2132481744  -0.1578410175  3.999687585    4.435252699    4.831718955    2.607701038    1.53934843     -1.899505875   1.328662768    -1.478157557   -3.994974948   0.04596519244  -3.144565941   2.396772932    2.012002717    -4.358744032   -2.650620415   0.6166806025   0.9794688082   -3.146998295   0.2145041324   2.685522629    -0.3819873589  654.190209     
12       NO_ID      -1.235033314   4.393306062    1.373995678    -3.626868846   3.104281068    4.339499436    -5.03686567    4.454706845    -2.7601089     2.458557294    -0.9403560845  1.248771839    -1.440260646   -0.8872271474  -1.525422118   2.805350729    0.2411835299   4.273955637    -1.861088197   -3.824456778   4.959702525    2.471056964    3.326125699    -0.9999280498  2.564871123    -2.781491428   1.045582944    -3.812560601   3.025484206    -4.342511905   3432.483615    
13       NO_ID      -1.581190162   2.930861642    0.7407229468   4.890248744    0.264398252    -2.479165456   0.7327966037   -3.40144646    -0.6125227378  4.804629147    0.8576445269   -4.063999858   -4.742136283   1.818710344    -0.9796626933  -3.726460643   2.504994726    -1.895248106   0.3791281121   4.446946574    -3.653444731   3.830932479    4.930660427    -4.54170963    1.556626884    0.1136932504   -2.492450051   -1.553104063   -3.018050368   3.988211294    5080324.063    
14       NO_ID      -1.693982228   -4.372589557   -1.530951245   -4.652226513   -4.791960543   -4.732296987   0.5816770628   -2.570106016   -1.00931348    -1.63925463    0.4162940638   -2.513842289   -2.754486143   -5.083436892   -0.5523989504  -4.369626386   -2.566299454   -1.783873481   -1.382928068   0.6369411759   -1.428243154   2.109028596    1.545195833    2.846342742    1.16766952     1.83167929     -5.003042005   3.79164858     -4.122650633   0.9566824774   -1335.497898   
15       NO_ID      2.944014778    4.482211328    -1.766003078   -4.019832232   0.7192457311   -4.182245786   4.884923907    -0.8165152187  1.070326254    -4.315014181   -1.620508657   -3.342795952   1.980213594    0.2025183083   1.664167848    -4.413852675   3.088538702    2.72836936     -2.738905908   0.1429968375   1.975233158    0.6783817008   2.352238932    -2.721221483   -0.1549113441  3.172617195    5.039040933    -5.116149363   -4.877030523   -1.322427251   313.770941     
16       NO_ID      0.7228665034   -2.247684766   -4.619679529   -4.98745759    -4.922859509   2.721022825    -2.233040616   2.580528616    2.880065677    -2.288873077   1.246001489    4.116372268    1.054257387    4.496382312    -2.630167994   0.4272747131   3.670681228    -2.493347779   1.668214164    -1.710089641   -1.941225641   -0.1145066885  1.95931961     -2.966915069   -0.04390159104 2.953652224    -0.6443207805  -4.505055588   -3.811950977   2.691434958    -30.218253     
