5.93148e-01	1.45284e+00	3.74415e+00	1.78041e-01	1.00320e+00	1.73335e+00
3.52029e+00	9.34964e-01	2.14335e+00	4.50682e-01	1.64089e+00	4.07318e+00
5.93148e-01	1.45284e+00	3.74415e+00	1.14307e-01	1.00525e+00	1.73999e+00
5.04948e-01	1.52472e+00	3.60924e+00	1.06338e+00	4.48799e+00	4.19229e+00
6.98635e-01	1.51284e+00	1.88108e+00	3.08054e-01	1.13114e+00	1.70232e+00
5.19281e-01	1.53334e+00	3.15953e+00	9.03980e-01	1.15651e+00	1.65303e+00
5.84668e-01	1.51258e+00	3.17431e+00	9.66423e-01	1.09556e+00	1.19626e+00
3.51111e+00	9.23225e-01	2.14335e+00	4.50682e-01	1.64507e+00	4.07318e+00
5.93148e-01	1.45284e+00	3.59706e+00	9.65972e-02	1.23363e+00	1.73999e+00
3.63094e+00	2.32733e+00	2.03679e+00	1.71211e-01	1.11278e+00	4.07318e+00
