1.37917e-01	2.01922e+00	2.61038e+00	9.82061e-01	4.47630e+00	2.03084e+00
2.26204e-01	2.02136e+00	2.56292e+00	9.71417e-01	4.41558e+00	2.10701e+00
4.01268e+00	1.63344e+00	4.25816e+00	2.22792e+00	2.06338e+00	6.92399e+00
1.99677e-01	1.87697e+00	1.99135e+00	7.44208e-01	1.89985e+00	3.47185e+00
1.37917e-01	2.01922e+00	2.61450e+00	9.75636e-01	4.79641e+00	2.38661e+00
1.37917e-01	2.01922e+00	1.94938e+00	9.82061e-01	2.04574e+00	3.43207e+00
1.37917e-01	2.01922e+00	3.56414e+00	9.71417e-01	4.47630e+00	2.11469e+00
1.38784e-01	2.02338e+00	2.61038e+00	8.07430e-01	4.50341e+00	2.09930e+00
1.37917e-01	2.01922e+00	3.03948e+00	9.71346e-01	4.47630e+00	2.10615e+00
1.99677e-01	1.87697e+00	1.99135e+00	7.57802e-01	1.89985e+00	3.45993e+00
