%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         
1        NO_ID      1.26058863     -3.124881109   -5.021474552   -0.02377421405 1.494207548    -2.094178337   1.535554138    2.666791687    0.5419135727   4.250103965    3434.910362    
2        NO_ID      2.518600817    0.2429082965   -3.664170735   -1.828091029   -1.580276923   -0.2366212248  4.184111153    -5.12          3.13284774     -4.808797221   -11728.17652   
3        NO_ID      -4.410913476   0.6157644409   1.220030466    1.702283328    0.8987861726   1.347647177    -5.12          -4.103472583   -2.537672465   -3.628760784   2260.204257    
4        NO_ID      3.595549601    5.12           1.07211781     -2.083155209   -5.064112318   2.791465935    3.288887973    -0.2712339734  -0.01637079775 4.538191013    -7422.408427   
5        NO_ID      -4.26464345    0.6987282933   -0.2310687658  2.538951271    -4.348483793   1.61350492     0.3051677281   -4.837732223   4.977353771    0.1006918733   -263.707134    
6        NO_ID      3.496353225    -4.988744712   5.12           -2.696506842   -1.920498762   4.901977914    2.3671979      -0.7696383594  4.831548248    4.821541016    -3313330.916   
7        NO_ID      -2.828013174   5.12           -4.294908069   -1.758466351   0.6467595769   4.31652153     -1.229210121   5.025554466    -1.736923083   0.4003564838   -10905.16048   
8        NO_ID      3.981305276    -2.842962926   -0.6818421766  -1.516062594   -4.505954618   2.703262809    -5.12          1.125867889    0.3107452346   3.717647679    -6523.153136   
9        NO_ID      -1.356115228   -4.967098576   0.2735154105   4.079485274    0.3666767688   -1.351339108   -3.128485838   3.07586276     1.627029776    -2.699454075   62247.65795    
10       NO_ID      1.487238027    -4.587588665   0.5779126514   5.12           -4.657204345   3.620552511    3.890820476    2.653702543    1.58013888     2.879817027    -3.971199      
11       NO_ID      3.660466393    0.3949563983   1.245341801    -1.506206519   3.591588363    2.027535727    1.374589384    -4.247033933   -4.316430614   0.9194674186   -287.59981     
12       NO_ID      1.081165108    -0.9214363393  1.388973901    -4.289972498   -3.300094178   4.331753418    1.882083676    3.636495381    1.605199459    1.094601391    6.646038       
13       NO_ID      -0.0167404035  2.13940796     -0.8369967968  -4.519038628   2.768350544    -1.816402523   -4.94541914    1.244652144    -4.947830122   -0.2673767746  269292.914     
14       NO_ID      3.379831553    -3.077766532   5.081804565    1.558989314    -2.704804657   4.704543059    2.110243652    2.188600219    0.09927341042  4.944530295    -1680.98345    
15       NO_ID      -2.202035386   -4.026592702   4.772935338    3.719597862    1.052873326    -0.9309630866  3.584861448    -1.991117342   1.756960538    1.445474321    -95880.13811   
16       NO_ID      -0.01003781779 -4.342426406   2.101804442    -3.174472119   -5.032081496   4.669292078    -0.1146286353  -0.08731570334 1.74368544     4.610041787    -220937.5771   
17       NO_ID      -4.593150516   -0.9608795045  -5.12          4.951828934    0.8947129414   3.54770474     -4.350854147   1.466279096    4.472870987    3.18720254     -7116.615216   
18       NO_ID      3.55300126     -3.301980196   0.7887887123   -4.998872289   0.4853688176   3.03924984     0.624471392    -2.935646832   1.59117054     0.4064459752   -20.05889      
19       NO_ID      -0.221412056   5.12           4.657591173    1.327574637    2.758202636    4.259436047    1.082947762    2.174415445    4.029240145    -2.914663825   -4507.509731   
20       NO_ID      4.23078613     1.284758871    4.790642028    -0.2451665335  0.4161757626   1.812258292    1.283089637    -2.560659084   4.186204772    2.261872632    2200168.516    
21       NO_ID      -3.714708867   4.769531459    -3.797210238   4.29612676     5.12           -2.255939869   3.305657392    2.136616552    -0.5812935704  0.3059178831   -11574.91243   
22       NO_ID      1.436223224    -2.266980471   2.846238118    0.352294186    -1.756190308   4.282319971    4.241879025    -2.047431713   2.1121783      2.590856255    -2014.365012   
23       NO_ID      0.7808722539   1.017564327    -0.8415688099  0.1598526472   -5.12          -2.071583608   0.7911760498   -3.674723788   -5.017083093   0.2917764179   25836.70657    
24       NO_ID      3.212548549    -3.104443184   4.941825547    -1.931065598   -1.746294449   1.113659568    4.255677056    0.9989610835   1.76384089     4.11664965     47263.17576    
25       NO_ID      3.714709041    3.684674942    0.375863989    1.497962235    2.436156789    -5.12          3.746428317    -4.481040476   -0.1034475993  2.676257166    18027.36493    
26       NO_ID      4.380723477    -4.865998221   0.629958621    -3.863970743   -2.723263697   3.52879053     4.592355631    -2.564435018   4.52200869     1.896901272    26.01116       
27       NO_ID      3.295938936    -4.919488529   -2.670032469   -3.21536315    -2.727667317   -5.005949366   -1.139267196   3.491221121    -2.012117537   -3.547853423   502.823522     
28       NO_ID      2.728746631    -4.039446028   3.408627317    0.7789211492   -2.425710521   1.405562945    -1.270180649   -3.080170243   3.896674776    3.650767124    77996.83315    
29       NO_ID      -0.4122341898  2.829263199    -1.80826108    2.085377172    -3.819748407   -4.662846007   -4.09560427    4.41984271     -1.802436056   0.09534625976  122.470223     
30       NO_ID      5.12           -4.794311996   4.235837754    -4.133900258   -0.8457234407  2.330901356    -2.332101913   -1.073207108   3.638448698    5.088681258    64998.09262    
31       NO_ID      -0.2675132825  4.860143177    -3.451989039   0.2228294765   4.7057739      4.144805481    4.279427904    -4.225183279   2.806797704    0.6503150796   169455.5583    
32       NO_ID      0.5052204299   -4.621851578   2.978163623    -5.12          0.2675055628   4.326188694    1.822140867    1.330647831    2.790650123    3.08281409     1458.866649    
33       NO_ID      -2.147565662   3.460148174    1.374053997    -3.349752148   -3.050031722   -4.522447405   4.925502122    1.233021763    3.43850361     -1.347954666   168202.9426    
34       NO_ID      4.164027454    -2.730848094   4.798940074    -1.176167845   0.2355487217   4.950250635    1.749217823    -4.750982711   3.86042919     3.109699382    30347.58624    
35       NO_ID      -3.822198865   -0.8600785794  -4.33786458    0.3443700426   5.064601745    -4.468540477   -0.3049568954  -2.555790362   4.488811055    -4.592944739   118668.0948    
36       NO_ID      4.081835       -1.54893153    3.454453742    -5.12          -2.687560419   3.396730042    0.3998139365   1.129167737    4.362313854    3.049709505    3393.170399    
37       NO_ID      -3.517567112   1.642554719    3.968824178    -0.6453673575  3.739488586    -4.887372717   4.635134349    -4.761525609   -1.049690733   -4.276581985   3620.170545    
38       NO_ID      3.703426887    0.217473407    -0.7950785498  2.162894763    4.375984773    -3.308161639   -2.301109263   1.687808345    -1.678492413   -2.689125879   2448.604472    
39       NO_ID      0.8418704049   -1.335246273   2.982562942    -4.653153357   -2.857619493   3.978085517    3.035814941    -4.520737924   4.809027122    5.001769042    3144.598084    
40       NO_ID      3.346645685    -3.940855431   5.100240445    0.9866288005   4.793817976    3.663577071    -5.12          2.688536678    -4.376614385   -3.149888931   39787.64444    
41       NO_ID      -2.112435086   -0.7479879686  -1.536396422   -2.618983596   1.308465227    -1.297456077   0.4729145609   -0.4599450399  -2.581221514   -5.12          139602.9954    
42       NO_ID      4.989988549    -4.485782985   3.908210498    -5.12          -1.16727585    3.707173011    4.602027071    -1.897328009   1.528117099    4.806037199    -160346.8304   
43       NO_ID      -5.12          -4.50350697    -2.023360185   -4.819701081   -0.03385717392 -2.711866736   -4.828363404   -4.246758162   -2.034908575   3.191016691    1419.685124    
44       NO_ID      4.723259309    -4.966380101   4.710371462    -1.095118022   -5.12          3.837977419    4.918269656    -3.71527241    4.786507711    4.520723212    -49119.54821   
45       NO_ID      4.931873137    3.908966486    -4.350340558   -4.517909061   -1.750112643   -2.228497994   2.877167519    4.558726048    -0.5233413648  0.6840639798   12132.30146    
46       NO_ID      4.742777505    -4.623239786   4.033948692    -0.2515435369  -2.025874289   3.886397079    1.242585547    1.857630618    4.109919203    -0.9556564295  -691965.6947   
47       NO_ID      2.605215601    3.613995979    0.6344007438   3.350150319    -3.66378785    -4.040641459   3.216320563    3.159755012    -5.012277043   -4.994797604   1815.072125    
48       NO_ID      -3.802266451   3.127578803    -3.434940204   3.899518082    -1.636690722   3.574326976    3.991505792    -4.516523874   -3.208018531   2.578891754    5.673024       
49       NO_ID      4.66583245     -4.1146305     3.316551059    -4.403482899   -3.041473946   5.12           1.922586866    -4.126796381   3.935691445    4.193230193    -37899.5293    
50       NO_ID      -5.094061544   -2.829779995   1.274475261    -2.338980945   4.899478474    2.645425933    2.737325718    3.96838771     4.634281163    -4.267618329   -1201.374391   
51       NO_ID      4.448651851    3.120009985    4.7905292      -4.962669898   0.9964034597   -4.6123992     -4.580773213   -0.235911974   1.768476593    -4.305992744   -36657.72527   
52       NO_ID      1.949679741    -3.332258599   3.826390077    -3.547884849   -3.297436585   3.657059758    3.694998929    0.3064387951   4.995530733    1.456847745    4200.271159    
53       NO_ID      -4.378483224   4.152756797    4.326324168    3.411025681    0.2619537685   -4.498368916   1.845909137    3.861175092    -0.5950750102  -2.71722812    -65668.20501   
