Run 1	   Run 2	   Run 3	   Run 4	   Run 5	   Run 6	   Run 7	   Run 8	   Run 9	  Run 10	Best Average Running Min	NumFeasible
2.66e+03	  1.40e+03	  2.15e+03	  3.19e+03	  2.23e+03	  2.09e+03	  6.61e+02	  9.27e+02	  1.76e+03	  7.71e+02	  1.78e+03	0
1.37e+03	  1.38e+03	  2.15e+03	  2.59e+03	  1.69e+03	  1.81e+03	  6.61e+02	  9.27e+02	  8.76e+02	  7.71e+02	  1.42e+03	0
1.37e+03	  1.38e+03	  1.79e+03	  2.59e+03	  1.69e+03	  1.81e+03	  6.61e+02	  9.27e+02	  8.76e+02	  7.71e+02	  1.39e+03	0
1.37e+03	  1.38e+03	  1.61e+03	  1.74e+03	  1.69e+03	  1.14e+03	  6.61e+02	  9.27e+02	  8.76e+02	  7.71e+02	  1.22e+03	0
1.37e+03	  1.38e+03	  1.61e+03	  1.42e+03	  1.55e+03	  1.14e+03	  6.61e+02	  9.27e+02	  7.77e+02	  5.97e+02	  1.14e+03	0
1.14e+03	  1.38e+03	  1.58e+03	  1.42e+03	  1.55e+03	  1.14e+03	  6.61e+02	  9.27e+02	  7.77e+02	  5.97e+02	  1.12e+03	0
1.04e+03	  1.38e+03	  1.41e+03	  1.42e+03	  1.55e+03	  1.14e+03	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  1.05e+03	0
1.04e+03	  1.22e+03	  1.41e+03	  1.42e+03	  1.41e+03	  1.05e+03	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  1.01e+03	0
9.72e+02	  1.22e+03	  1.41e+03	  1.22e+03	  1.41e+03	  1.04e+03	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  9.79e+02	0
9.72e+02	  9.52e+02	  1.26e+03	  1.22e+03	  1.41e+03	  1.04e+03	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  9.37e+02	0
7.53e+02	  9.52e+02	  1.26e+03	  1.22e+03	  1.41e+03	  1.04e+03	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  9.16e+02	0
7.53e+02	  7.44e+02	  1.26e+03	  1.22e+03	  1.41e+03	  4.52e+02	  6.61e+02	  9.27e+02	  3.35e+02	  5.97e+02	  8.35e+02	0
7.53e+02	  7.44e+02	  1.10e+03	  6.27e+02	  1.41e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  5.97e+02	  7.46e+02	0
7.53e+02	  7.44e+02	  1.10e+03	  6.27e+02	  1.15e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  5.97e+02	  7.20e+02	0
7.53e+02	  7.44e+02	  1.10e+03	  5.24e+02	  1.15e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  5.97e+02	  7.09e+02	0
7.53e+02	  7.44e+02	  1.10e+03	  5.24e+02	  1.04e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  5.97e+02	  6.98e+02	0
7.53e+02	  7.44e+02	  1.10e+03	  5.24e+02	  1.04e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  5.97e+02	  6.98e+02	0
5.52e+02	  7.44e+02	  9.03e+02	  5.24e+02	  1.04e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  2.03e+02	  6.19e+02	0
5.52e+02	  7.44e+02	  9.03e+02	  5.24e+02	  1.04e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  2.03e+02	  6.19e+02	0
5.52e+02	  7.44e+02	  9.03e+02	  5.24e+02	  1.04e+03	  4.52e+02	  6.61e+02	  7.78e+02	  3.35e+02	  2.03e+02	  6.19e+02	0
