Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	3.11136	45.74136	0.07230	0.01299	0.06688	0.03635	nan	139.52000	134.63000	564.58000	98.46000
2	3.16869	43.51375	0.07828	0.00196	0.05671	0.05103	nan	139.56000	134.80000	1052.74000	106.66000
3	3.08655	46.01915	0.07207	0.01705	0.05773	0.05070	nan	139.90000	134.85000	1334.82000	105.96000
4	2.99134	44.24328	0.07095	0.01641	0.05862	0.04965	nan	139.58000	134.66000	1003.00000	104.97000
5	3.31391	42.96798	0.07245	0.01642	0.05699	0.05119	nan	140.04000	134.67000	1329.97000	109.73000
6	3.15032	42.71963	0.07052	0.01710	0.05616	0.03878	nan	141.28000	134.61000	1240.06000	106.88000
7	2.97935	53.34374	0.07171	0.01526	0.05605	0.05007	nan	141.94000	134.76000	1245.25000	109.78000
8	3.16062	44.36217	0.07138	0.00000	0.05802	0.06859	nan	140.52000	134.80000	1283.79000	105.87000
9	3.13102	44.65778	0.07070	0.01710	0.05791	0.05240	nan	139.77000	134.71000	1178.05000	102.58000
10	2.97804	42.53092	0.06867	0.01621	0.05667	0.04264	nan	139.33000	134.67000	1087.56000	108.15000
total (hr)	0.00863	0.12503	0.00020	0.00004	0.00016	0.00014	0.00000	0.38929	0.37421	3.14439	0.29418
