Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	5.11568	47.33692	0.38464	0.00124	0.05152	0.05883	nan	139.34000	134.49000	1552.90000	103.99000
2	4.60408	48.66469	0.07005	0.00319	0.04653	0.05006	nan	139.49000	134.13000	1521.41000	101.17000
3	4.66587	46.48837	0.06881	0.00549	0.04764	0.04610	nan	139.42000	135.16000	1466.16000	109.43000
4	5.03135	50.04265	0.07116	0.00331	0.04708	0.04537	nan	139.45000	134.36000	1460.34000	110.14000
5	3.72930	47.31055	0.07374	0.00595	0.04863	0.04726	nan	139.54000	134.61000	1499.23000	106.44000
6	4.47899	49.16509	0.07392	0.00198	0.04684	0.04438	nan	139.11000	134.90000	1493.11000	112.00000
7	4.89541	49.79980	0.07724	0.00429	0.05034	0.05000	nan	139.70000	136.01000	1451.51000	103.17000
8	5.06504	50.54742	0.07407	0.00321	0.04858	0.04967	nan	139.36000	134.73000	1329.31000	108.72000
9	5.00292	49.22922	0.07014	0.00696	0.04741	0.05064	nan	139.53000	134.82000	1497.31000	110.40000
10	4.79858	47.68765	0.08631	0.00338	0.04391	0.05653	nan	139.55000	134.79000	1468.33000	109.76000
total (hr)	0.01316	0.13508	0.00029	0.00001	0.00013	0.00014	0.00000	0.38736	0.37444	4.09434	0.29867
