8.45135e-01	1.96264e+00
3.92621e-01	3.09876e+00
8.46907e-01	1.91291e+00
6.63501e-01	2.02396e+00
2.24079e-01	3.40393e+00
3.31247e-01	3.13692e+00
6.39369e-01	2.33024e+00
4.87748e-02	3.51382e+00
4.35176e-01	2.85391e+00
8.65206e-01	1.77610e+00
1.07728e-03	4.20126e+00
6.76498e-03	3.57673e+00
3.29079e-01	3.16869e+00
4.66873e-03	3.63750e+00
4.37248e-01	2.61722e+00
6.37280e-01	2.41862e+00
2.78512e-01	3.30783e+00
4.30743e-01	2.85527e+00
6.35249e-01	2.59344e+00
4.38314e-02	3.57392e+00
6.50406e-01	2.28608e+00
