Run	MOEAD	NSGA2	OMADS	SPEA2	OASIS	ea	moga
1	0.12717	0.14380	2.22800	0.02684	nan	79.72000	70.22000
2	0.12085	0.02228	2.04374	0.02571	nan	81.17000	69.20000
3	0.12152	0.02175	2.04117	0.02522	nan	81.11000	73.73000
4	0.12249	0.02050	2.06038	0.02522	nan	80.50000	71.04000
5	0.13439	0.02023	2.34087	0.02458	nan	82.97000	69.61000
6	0.12350	0.02042	2.15463	0.02506	nan	81.50000	67.58000
7	0.16679	0.02174	2.15339	0.02381	nan	82.33000	67.60000
8	0.12655	0.02259	2.14868	0.02465	nan	81.82000	66.67000
9	0.12070	0.02136	2.73031	0.02443	nan	79.65000	66.98000
10	0.12007	0.02137	2.75928	0.02334	nan	80.28000	69.47000
