Run	MOEAD	NSGA2	OMADS	SPEA2	OASIS	ea	moga
1	0.10173	0.07879	2.26950	0.02194	nan	43.87000	29.02000
2	0.10273	0.02094	2.23610	0.02394	nan	43.21000	28.94000
3	0.10273	0.02094	2.20187	0.02094	nan	43.01000	28.80000
4	0.10472	0.02194	2.29127	0.02393	nan	43.75000	28.92000
5	0.10572	0.01995	2.46300	0.02094	nan	43.57000	29.41000
6	0.10073	0.02094	2.24542	0.02194	nan	42.79000	29.02000
7	0.10173	0.01995	2.25519	0.02194	nan	42.88000	29.02000
8	0.10073	0.01995	2.16669	0.02194	nan	43.14000	29.05000
9	0.09974	0.01795	2.30074	0.02194	nan	42.87000	28.89000
10	0.10073	0.01995	2.05008	0.02194	nan	43.34000	29.21000
