f1	f2
0.779411	12.3157
0.767828	12.3404
0.726227	12.354
0.664917	12.4632
0.616966	12.9801
0.567082	13.0277
0.54978	13.1249
0.537042	13.3574
0.456838	13.4071
0.450702	13.4531
0.44773	13.4741
0.434284	13.7238
0.42784	13.8016
0.42611	13.8944
0.367622	14.0471
0.345636	14.2438
0.320686	14.4583
0.319205	14.4613
0.317996	14.4637
0.299363	14.7825
0.279818	15.0004
0.276613	15.0054
0.240511	15.2468
0.234043	15.3406
0.221172	15.5271
0.218144	15.6414
0.2148	15.6966
0.204889	15.823
0.191507	16.1086
0.190051	16.1228
0.189159	16.1954
0.179422	16.2556
0.172412	16.6839
0.141163	16.9531
0.138858	17.1233
0.11712	17.3258
0.116911	17.438
0.113331	17.5793
0.105096	17.998
0.0962387	18.3093
0.0918743	18.4204
0.0901578	18.6802
0.0835243	18.8256
0.0827078	18.9558
0.0801448	19.0189
0.0697341	19.2942
0.0692022	19.3274
0.0687131	19.3588
0.0628846	19.3732
0.0569906	19.5991
0.0554103	20.1709
0.0547816	20.2423
0.0542476	20.6406
0.0493265	20.7186
0.0434157	20.9203
0.0423224	20.9598
0.0401018	21.0586
0.0393706	21.0603
0.036391	21.1138
0.0321467	21.867
0.0318382	21.924
0.0313874	21.9323
0.0306807	22.0497
0.0286996	22.572
0.0270435	22.5725
0.0228828	22.6648
0.0203487	23.0271
0.0201496	23.2909
0.0198706	23.6407
0.0184048	23.8972
0.0160062	23.9299
0.0154688	24.0403
0.0139983	24.3024
0.013145	24.6559
0.012267	24.6618
0.0109041	24.6866
0.0101303	24.7817
0.0100623	24.7937
0.0081146	25.091
0.00733762	25.5067
0.00656799	26.5009
0.00540413	26.5664
0.00467269	27.4546
0.00400403	27.7027
0.00384996	27.8285
0.00317372	28.1129
0.00270444	28.5511
0.00270233	28.5823
0.00189793	29.3654
0.00165973	29.4728
0.00127092	29.8394
0.000450938	29.9802
0.000388125	30.0733
0.000359976	30.3956
0.000302082	30.6547
0.000194703	30.811
9.29096e-05	30.9068
1.43207e-05	31.6061
1.58518e-08	32.0527
3.65747e-09	33.4651
1.94627e-09	35.655
1.95889e-10	38.7554
1.43352e-10	45.0785
5.9029e-11	53.7808
2.44221e-14	59.0227
