Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	2.60264	163.91839	0.35824	0.16106	0.24923	0.22719	nan	nan	108.86000	nan	92.54000
2	3.19539	160.46763	0.27870	0.15942	0.24448	0.23370	nan	nan	109.34000	nan	92.74000
3	3.01160	159.35155	0.29430	0.16161	0.24567	0.22677	nan	nan	108.71000	nan	92.48000
4	2.81427	158.90137	0.28916	0.16030	0.24321	0.22721	nan	nan	109.58000	nan	91.59000
5	3.07758	159.99985	0.27529	0.15973	0.24416	0.22712	nan	nan	109.05000	nan	91.90000
6	2.93948	159.17919	0.27634	0.16260	0.24819	0.22694	nan	nan	109.98000	nan	92.04000
7	2.93149	158.82725	0.28122	0.16141	0.24577	0.23254	nan	nan	109.17000	nan	91.50000
8	2.68177	159.23046	0.28228	0.16266	0.24419	0.22522	nan	nan	108.57000	nan	91.41000
9	2.02854	158.98653	0.27605	0.16158	0.24341	0.22607	nan	nan	108.31000	nan	92.23000
10	2.61171	160.49184	0.27838	0.16116	0.24385	0.22532	nan	nan	110.08000	nan	92.26000
total (hr)	0.00775	0.44427	0.00080	0.00045	0.00068	0.00063	0.00000	0.00000	0.30324	0.00000	0.25575
