%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          f1             f2             f3             f4             f5             f6             f7             
1        NO_ID      5              5              3              3              3              5              -70.5          -8             4              -2             -12            -1             -1             
2        NO_ID      0.0004695821556 7.892267289    3.134527733    4.511404749    1.786413698    3.13755118     -17.303315     -5.892737      1.892737       5.891798       -25.676332     0.529502       -0.610343      
3        NO_ID      2.822676973    0.7318830121   1.30311374     3.648944254    2.20404986     1.164982324    4.7690835      -1.55456       -2.44544       -4.090794      -1.372972      2.528367       2.201481       
4        NO_ID      9.857920767    2.074326632    2.283079241    1.06920696     1.107585218    0.4618911727   -722.3243665   -9.932247      5.932247       -9.783594      1.634941       -2.416818      -0.043125      
5        NO_ID      3.004939045    4.010534251    3.019663387    0.723817645    3.135439429    5.826189684    14.934733      -5.015473      1.015473       -0.994405      -11.026664     -3.275796      -1.844534      
6        NO_ID      0.7700134305   1.615726655    3.207157378    5.541082643    2.983984564    2.071435667    4.117972       -0.38574       -3.61426       -1.154287      -6.077167      1.583997       1.928308       
7        NO_ID      4.619249829    5.731882381    3.298871848    1.708722493    2.66596523     9.694053568    -14.836307     -8.351132      4.351132       -0.887367      -14.576397     -2.201953      -5.805633      
8        NO_ID      7.958314073    5.384629157    4.784897253    1.152192146    2.928933254    8.953017173    -359.9313355   -11.342943     7.342943       -4.573685      -10.195573     0.33805        -4.958068      
9        NO_ID      3.359624047    5.201350099    4.636445794    2.616691786    4.159233234    3.082427715    5.9521445      -6.560974      2.560974       -0.158274      -14.244426     1.294647       -0.426249      
10       NO_ID      6.362598006    6.184684339    3.395874669    5.19834354     2.706586408    6.494410418    -168.308053    -10.547282     6.547282       -2.177914      -14.191455     1.35506        -2.580502      
11       NO_ID      1.555898758    9.990432025    4.676417192    2.315626316    2.820994439    3.633859653    31.0883355     -9.546331      5.546331       6.434533       -30.415397     1.126001       0.334097       
12       NO_ID      4.27918554     0.2713736846   1.391007127    5.485185882    4.679410688    9.638601099    8.2273545      -2.550559      -1.449441      -6.007812      1.465064       4.074044       -8.459021      
13       NO_ID      5.968670433    5.443973693    3.746341999    2.654966708    1.016970275    3.048528881    -159.1489085   -9.412644      5.412644       -2.524697      -12.363251     -0.788007      -2.980936      
14       NO_ID      6.624908017    4.829046519    1.713937449    4.720049698    3.583518892    3.005039023    -218.0765965   -9.453955      5.453955       -3.795861      -9.862232      2.374007       0.654467       
15       NO_ID      5.690855731    6.212272805    4.867615206    4.513153522    1.380824831    1.307318072    -127.5071405   -9.903129      5.903129       -1.478583      -14.945963     4.00114        0.070954       
16       NO_ID      2.094827905    7.772605074    2.669388343    2.114831944    4.986989096    3.314332819    28.235064      -7.867433      3.867433       3.677777       -23.222987     -1.775864      -3.262458      
17       NO_ID      3.991692706    8.379309866    1.424365953    0.4778532807   3.186725981    0.7588936066   -29.049608     -10.371003     6.371003       2.387617       -23.146237     -1.039524      3.20624        
18       NO_ID      4.724846233    0.4906383671   3.463614534    2.954206161    1.895295414    8.07504211     -41.887588     -3.215485      -0.784515      -6.234208      1.252931       -0.830855      -5.295414      
19       NO_ID      7.23274229     0.6996622359   4.68927945     2.57957319     4.257737448    1.983225263    -304.482393    -5.932405      1.932405       -8.53308       3.133756       1.433238       0.434871       
20       NO_ID      2.066990469    9.908807143    3.928658239    2.938535433    2.310012358    3.444248882    34.82198       -9.975798      5.975798       5.841817       -29.659431     -0.199058      0.079668       
21       NO_ID      7.490957481    0.5223767508   4.834420541    1.659054534    2.153039225    7.825635713    -314.536735    -6.013334      2.013334       -8.968581      3.923827       1.024153       -4.542978      
22       NO_ID      5.459420199    6.475288866    1.071990423    2.914557479    1.645030979    2.589175572    -115.0144725   -9.934709      5.934709       -0.984131      -15.966446     2.631778       -0.425117      
23       NO_ID      6.273837963    4.394648287    1.341501812    5.431423316    2.287775892    9.123521158    -143.8770285   -8.668486      4.668486       -3.87919       -8.910107      4.18204        -5.630784      
24       NO_ID      9.020103574    0.8807728257   2.259552889    1.958112136    4.99378478     8.851980199    -530.3159345   -7.900876      3.900876       -10.139331     4.377785       -1.493626      -8.827158      
25       NO_ID      5.23119739     0.7345395678   3.162606641    4.394717752    2.347507327    8.889093729    -63.7591865    -3.965737      -0.034263      -6.496658      1.027579       0.421159       -5.31484       
26       NO_ID      8.998305825    4.526001618    4.403674515    2.336352505    3.051033757    9.31087296     -513.520502    -11.524307     7.524307       -6.472304      -6.579699      0.306655       -5.313477      
27       NO_ID      7.841831719    7.665708446    4.024739345    1.191259177    4.661992173    7.756149386    -347.978199    -13.50754      9.50754        -2.176123      -17.155294     -1.75865       -6.518367      
28       NO_ID      7.602729531    9.075224492    3.919216621    4.910627852    2.948202199    8.585908184    -292.9621905   -14.677954     10.677954      -0.527505      -21.622944     1.755587       -4.588591      
29       NO_ID      3.358850183    2.195020082    1.681004353    2.460245963    3.235937913    8.521261927    27.0139335     -3.55387       -0.44613       -3.16383       -5.22621       0.199995       -4.576929      
30       NO_ID      6.849206806    4.618782133    4.148524755    1.883341361    3.212167119    9.73191312     -209.992578    -9.467989      5.467989       -4.230425      -9.00714       -0.79755       -5.776928      
31       NO_ID      4.263813907    1.920341729    3.073376725    4.863937259    3.79567605     7.318437047    -9.0253675     -4.184156      0.184156       -4.343472      -3.497211      0.869321       -3.951537      
32       NO_ID      0.9714486827   7.138010155    4.414670089    3.540278411    4.639505323    2.914903049    17.987523      -6.109459      2.109459       4.166561       -22.442582     1.54157        -1.602881      
33       NO_ID      0.7755420547   4.535313116    3.003014258    0.9909540932   4.310295885    0.3573525093   -9.0288795     -3.310855      -0.689145      1.759771       -14.830397     -3.009037      1.925772       
34       NO_ID      6.023624305    9.053688976    3.140244772    4.640819256    3.832818809    7.964321998    -119.868451    -13.077313     9.077313       1.030065       -23.137443     0.660488       -4.657909      
35       NO_ID      6.359819233    9.481843211    1.535541915    1.279439355    4.691491995    7.264894162    -171.678825    -13.841662     9.841662       1.122024       -24.08571      -0.575923      -6.126039      
36       NO_ID      1.076180102    7.358972187    1.898217792    0.5196479813   3.482414273    4.84170899     12.809283      -6.435152      2.435152       4.282792       -23.000736     -2.266428      -1.074433      
37       NO_ID      4.60299839     2.593943138    3.560927824    2.270916493    1.862329709    2.938540086    -61.088892     -5.196942      1.196942       -4.009055      -5.178831      -1.414443      -0.232834      
38       NO_ID      8.043219619    2.392128456    2.801181544    0.6873265378   2.264746814    1.499244325    -421.436243    -8.435348      4.435348       -7.651091      -1.133166      -3.273145      1.960158       
39       NO_ID      7.799364053    3.911632376    2.122135696    5.601953736    1.024297565    0.9229471818   -367.189324    -9.710996      5.710996       -5.887732      -5.935533      2.372599       -0.826347      
40       NO_ID      1.973284824    4.998033734    1.781184057    2.040672466    2.054759367    8.351699937    47.808152      -4.971319      0.971319       1.024749       -15.020816     -0.473815      -5.24518       
41       NO_ID      7.02084618     9.36174998     2.172767571    4.056843361    4.577577904    0.8795674568   -259.3770255   -14.382596     10.382596      0.340904       -23.064404     0.741157       0.631681       
42       NO_ID      2.890247131    6.38353376     4.220762753    5.039397019    1.763793446    2.691137443    25.800337      -7.273781      3.273781       1.493287       -18.260354     2.529659       -0.219344      
