%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          f1             f2             f3             f4             f5             f6             f7             
1        NO_ID      5              5              3              3              3              5              -70.5          -8             4              -2             -12            -1             -1             
2        NO_ID      0.0006261095408 0.5230230515   1.17937031     4.015206332    2.048551597    7.516734906    -12.383254     1.476351       -5.476351      -1.477603      -3.568443      3.329899       -4.421989      
3        NO_ID      3.763569297    4.309177349    2.737484987    2.865259005    1.27206648     1.553309765    -17.4996535    -6.072747      2.072747       -1.454392      -11.163963     -1.065827      -0.539064      
4        NO_ID      6.477227689    2.765768842    2.710772321    1.42560928     2.47678029     0.6158548969   -223.981192    -7.242997      3.242997       -5.711459      -3.820079      -2.490738      3.110386       
5        NO_ID      0.6732520604   5.347379001    2.359551183    2.965090193    3.847252571    4.434919578    5.8195615      -4.020631      0.020631       2.674127       -17.368885     -0.624735      -1.152756      
6        NO_ID      7.693351241    2.154302207    3.942876504    1.38811019     2.311979419    6.095247556    -351.892355    -7.847653      3.847653       -7.539049      -0.769555      -1.722874      -2.56862       
7        NO_ID      2.825666439    0.9758431748   1.398495797    2.278296658    4.554620307    6.25873809     21.0745225     -1.80151       -2.19849       -3.849823      -2.101863      0.843112       -4.675582      
8        NO_ID      0.611085431    0.5128388761   4.713196337    5.536256195    4.905244339    8.604022897    34.876915      0.876076       -4.876076      -2.098247      -2.927431      4.471298       -8.233979      
9        NO_ID      7.812832062    0.2684667987   1.848594392    3.488922382    1.212310979    0.776570286    -384.9874755   -6.081299      2.081299       -9.544365      5.007432       0.814657       0.027598       
10       NO_ID      1.816797341    4.912912452    1.527832892    4.93112472     4.608781878    1.992547224    27.902897      -4.72971       0.72971        1.096115       -14.92194      3.098401       -0.580726      
11       NO_ID      8.741198345    3.320576033    4.568556256    1.087501755    2.094659253    4.845146204    -511.4505695   -10.061774     6.061774       -7.420622      -3.22053       -0.45213       -1.664788      
12       NO_ID      2.372247387    0.3618315795   1.521342837    3.313581176    4.572547585    9.518134799    55.4510005     -0.734079      -3.265921      -4.010416      -0.713247      1.500008       -7.991041      
13       NO_ID      1.291560578    7.25863159     3.328455999    3.53995561     1.022627033    0.7313718417   16.856105      -6.550192      2.550192       3.967071       -22.484334     -0.352161      -0.641376      
14       NO_ID      2.166544023    3.105395359    1.951916598    4.293399598    3.111358522    4.006718697    27.4748065     -3.271939      -0.728061      -1.061149      -9.149642      1.391878       -0.019119      
15       NO_ID      0.9211409748   1.61636374     3.490153608    0.01753802878  1.507766441    5.076424095    -3.9391195     -0.537505      -3.462495      -1.304777      -5.92795       -3.742211      -3.303185      
16       NO_ID      9.45977054     0.3634734314   4.559184458    4.819775925    4.982652128    1.085777092    -631.721234    -7.823244      3.823244       -11.096297     6.36935        3.250832       -1.016687      
17       NO_ID      8.655590275    4.505746488    4.232487937    0.6371377076   3.915634641    7.678524809    -478.063364    -11.161337     7.161337       -6.149844      -6.861649      -1.843836      -4.516912      
18       NO_ID      2.966461644    7.320851156    1.618152712    1.938941548    2.193727218    7.43338948     35.561334      -8.287313      4.287313       2.35439        -20.996092     -0.151557      -4.083465      
19       NO_ID      2.97698972     4.266216315    1.919039267    3.43943092     2.676983264    2.64430035     11.8822135     -5.243206      1.243206       -0.710773      -11.821659     0.607907       1.25136        
20       NO_ID      2.755987292    9.878409523    3.571544319    5.918047244    2.746683144    1.258998509    36.193547      -10.634397     6.634397       5.122422       -28.879241     2.24471        2.676832       
21       NO_ID      9.987943307    7.363169001    2.112560722    4.212072712    3.870718967    0.43418095     -721.0588075   -15.351112     11.351112      -4.624774      -14.101564     0.999621       2.807668       
22       NO_ID      7.279226932    1.967051822    1.095987231    1.886076638    1.860041306    6.785567429    -295.4279885   -7.246279      3.246279       -7.312175      -0.621929      1.511341       -4.085073      
23       NO_ID      5.031783951    9.192864382    2.788669082    3.241897754    1.383701189    2.164694877    -75.3683575    -12.224648     8.224648       2.16108        -24.546809     -0.713441      -0.777117      
24       NO_ID      2.026804766    4.507697101    1.346070519    0.6108161819   4.99171304     1.802640265    10.466186      -4.534502      0.534502       0.480892       -13.496287     -0.653701      -1.769561      
25       NO_ID      6.974929854    7.646052757    3.883475521    3.85962367     2.796676435    1.852124972    -256.9233295   -12.620983     8.620983       -1.328877      -17.963228     0.640153       2.106535       
26       NO_ID      8.664407767    2.70133549     1.538232686    3.115136673    1.068045009    9.081163946    -466.9398905   -9.365743      5.365743       -7.963072      -1.439599      1.2519         -8.813614      
27       NO_ID      7.122442293    6.887611261    1.032985793    3.588345569    3.215989565    0.3415325146   -281.1921935   -12.010054     8.010054       -2.234831      -15.540391     3.45749        3.611816       
28       NO_ID      0.1369727078   2.100299323    4.892288828    2.547503802    4.930936266    8.114544245    2.76025        -0.237272      -3.762728      -0.036673      -8.163925      2.128261       -7.843059      
29       NO_ID      1.145133577    6.260026775    1.908005804    1.280327951    2.647917217    1.361682569    3.645086       -5.40516       1.40516        3.114893       -19.634947     -1.527221      2.514355       
30       NO_ID      5.798942407    2.825042844    1.198033007    0.5111218144   3.949556158    2.97588416     -157.315571    -6.623985      2.623985       -4.9739        -4.676186      -0.241793      0.122459       
