f1	f2
1	1.110223025e-16
1	1.110223025e-16
1	3.330669074e-16
1	3.330669074e-16
1	5.551115123e-16
1	7.21644966e-15
1	7.338574193e-14
1	1.196820421e-13
1	1.439959263e-13
1	1.441069486e-13
1	2.375877273e-13
1	2.379207942e-13
1	2.395861287e-13
1	2.412514633e-13
1	2.595701432e-13
1	3.356204203e-13
1	3.618216837e-13
1	9.815481761e-13
1	1.140643135e-12
1	1.152189455e-12
1	1.327826737e-12
1	1.327826737e-12
1	1.753153178e-12
1	1.794120408e-12
1	1.951550033e-12
1	2.828626222e-12
1	3.090749878e-12
1	3.170130825e-12
1	4.443889701e-12
1	4.462874514e-12
1	6.986633494e-12
1	7.193912133e-12
1	9.044542892e-12
1	9.845235738e-12
1	1.892663803e-11
1	2.23339125e-11
0.9999999999	3.878364296e-11
0.9999999998	9.184308869e-11
0.9999999998	9.184442096e-11
0.9999999997	1.662320281e-10
0.9999999996	1.874852495e-10
0.9999999995	2.324036519e-10
0.9999999995	2.324036519e-10
0.9999999995	2.429536572e-10
0.9999999988	5.96064309e-10
0.9999999986	7.044282935e-10
0.999999998	8.47e-10
0.9999999954	2.30791497e-09
0.999999992	4.004118259e-09
0.9999999811	9.453352101e-09
0.9999999811	9.453352101e-09
0.9999999783	1.085624834e-08
0.9999999186	4.068483195e-08
0.9999999186	4.068483195e-08
0.9999998476	7.618697317e-08
0.999999836	8.198524604e-08
0.999999798	1.01e-07
0.999999647	1.77e-07
0.9999992782	3.608772697e-07
0.9999991302	4.348880051e-07
0.999999003	4.98e-07
0.999999003	4.98e-07
0.999998257	8.71e-07
0.9999981714	9.143250231e-07
0.9999980896	9.552124471e-07
0.9999978814	1.059302811e-06
0.9999958722	2.063881614e-06
0.9998813611	5.932120909e-05
0.9998809691	5.951722695e-05
0.9998671172	6.644358547e-05
0.9996947071	0.000152658105
0.9993625446	0.0003187785016
0.999081763	0.000459224
0.9990372251	0.0004815033613
0.9990110134	0.00049461563
0.9982626146	0.000869070348
0.9978456571	0.001077752243
0.996392115	0.001805572549
0.99619812	0.00190275
0.996000169	0.00200192
0.995961032	0.002021527
0.9952777547	0.002363916699
0.9943093244	0.002849397349
0.9942563346	0.0028759683
0.9921600175	0.003927704694
0.990030083	0.004997445743
0.9898224927	0.005101767654
0.988517229	0.005757963
0.9867441736	0.00665002462
0.9857667198	0.007142145234
0.985529566	0.007261582
0.9836817575	0.008192681268
0.9833722683	0.008348716388
0.9734218263	0.01337858007
0.9668113166	0.01673436113
0.956263602	0.02211268443
0.954859261	0.022830996
0.954859261	0.022830996
0.954859261	0.022830996
0.951015056	0.024799992
0.9330075381	0.03407684674
0.9330075381	0.03407684674
0.9280019612	0.03667141575
0.9107682445	0.045658214
0.9040070305	0.04920715688
0.9040070305	0.04920715688
0.9026103528	0.04994192133
0.8886134654	0.0573370351
0.88636397	0.058530951
0.8684995406	0.06806677244
0.8660169069	0.06939970621
0.8660169069	0.06939970621
0.860653846	0.072285687
0.8404271338	0.08325187001
0.837913425	0.08462388875
0.8366888447	0.08529302797
0.8366888447	0.08529302797
0.8345960574	0.08643771017
0.8258134412	0.09125721947
0.779641348	0.117026983
0.760641328	0.127852462
0.728206136	0.1466500507
0.7096491678	0.157593229
0.7096491678	0.157593229
0.7037762554	0.1610862646
0.698792414	0.164061956
0.698560512	0.164200675
0.695054393	0.166300778
0.6886506673	0.170150214
0.6876005196	0.170783189
0.6612321058	0.1868382044
0.6582004332	0.1887044724
0.6582004332	0.1887044724
0.6500189612	0.193762466
0.6206597577	0.2121803774
0.6206597577	0.2121803774
0.62036373	0.212368278
0.617341984	0.214288867
0.6172791647	0.2143288444
0.6170568366	0.2144703464
0.607143133	0.2208061005
0.596907739	0.227401955
0.5910585745	0.2311966607
0.587637177	0.233425035
0.58763171	0.233428601
0.5345063333	0.2689005995
0.5323052675	0.2704074647
0.5288699309	0.2727655599
0.5273792012	0.2737912138
0.5126241788	0.2840222219
0.5114720327	0.2848272707
0.5105643084	0.2854621715
0.5038088743	0.2902050477
0.503363077	0.29051915
0.500518677	0.292526554
0.500086335	0.292832173
0.5000331095	0.2928698073
0.5000058994	0.2928890473
0.500002998	0.292891099
0.5000024633	0.292891477
0.5000019097	0.2928918685
0.5000014182	0.292892216
0.5000010559	0.2928924722
0.5000003804	0.2928929499
0.500000156	0.2928931085
0.5000001267	0.2928931292
0.500000044	0.2928931877
0.5000000251	0.2928932011
