Run	MOEAD	NSGA2	OMADS	SPEA2	OASIS	ea	moga
1	nan	0.10796	nan	0.06483	nan	62.73000	58.73000
2	nan	0.06282	nan	0.06583	nan	62.66000	58.09000
3	nan	0.06184	nan	0.06383	nan	62.72000	57.50000
4	nan	0.06283	nan	0.06782	nan	63.06000	57.19000
5	nan	0.06283	nan	0.06583	nan	62.47000	57.66000
6	nan	0.06383	nan	0.06483	nan	62.03000	56.86000
7	nan	0.06084	nan	0.06183	nan	62.72000	56.50000
8	nan	0.06283	nan	0.06383	nan	62.89000	57.27000
9	nan	0.06383	nan	0.06683	nan	62.49000	57.18000
10	nan	0.06184	nan	0.06383	nan	62.36000	57.29000
